date,ticker,open,high,low,close,volume,rv20_yz,rv60_yz,rv20_c2c,rv20_pctile
2025-12-01,SMH,348.85,355.01,348.06,352.96,3902000,0.400239,0.317121,0.362716,75.4
2025-12-02,SMH,355.85,360.79,354.15,359.43,6657900,0.399318,0.317731,0.367821,75.0
2025-12-03,SMH,359.7,364.58,356.23,364.37,4642700,0.38984,0.318827,0.34499,72.22
2025-12-04,SMH,363.26,364.37,359.6,361.6,3971800,0.384423,0.31888,0.340166,69.84
2025-12-05,SMH,364.46,368.58,363.54,364.42,3619200,0.382363,0.319335,0.328912,69.44
2025-12-08,SMH,368.1,370.72,365.74,368.55,4334300,0.36781,0.319984,0.328137,64.68
2025-12-09,SMH,367.04,369.56,365.35,369.0,3173300,0.354158,0.32019,0.311833,62.3
2025-12-10,SMH,368.91,375.59,366.93,374.1,5653300,0.353441,0.321099,0.302111,61.51
2025-12-11,SMH,369.78,371.22,361.68,370.89,7499900,0.358839,0.324144,0.302686,63.1
2025-12-12,SMH,366.99,367.56,352.88,354.12,12705900,0.358187,0.32284,0.329123,62.7
2025-12-15,SMH,358.13,359.2,352.19,352.9,5605800,0.336041,0.323551,0.329552,57.94
2025-12-16,SMH,351.57,354.39,348.31,351.94,5849200,0.327606,0.323846,0.3253,56.35
2025-12-17,SMH,352.89,352.89,338.06,339.24,10780400,0.324102,0.325338,0.344285,55.16
2025-12-18,SMH,350.84,352.09,345.83,347.25,8260200,0.338938,0.331402,0.348118,58.33
2025-12-19,SMH,350.31,358.53,350.31,356.23,8838700,0.308032,0.328957,0.316099,51.19
2025-12-22,SMH,362.41,362.48,357.77,359.7,4799500,0.288101,0.329882,0.316562,38.1
2025-12-23,SMH,358.6,363.3,358.06,363.16,3542100,0.283346,0.329787,0.290601,35.71
2025-12-24,SMH,362.7,364.54,362.15,364.17,1640500,0.259269,0.32968,0.290595,30.16
2025-12-26,SMH,366.07,367.35,364.49,365.86,2921300,0.254129,0.328105,0.281934,29.37
2025-12-29,SMH,362.66,365.82,360.82,364.21,4874400,0.2578,0.327908,0.280139,30.56
2025-12-30,SMH,365.16,366.24,363.07,363.31,2927000,0.250884,0.327457,0.28052,28.57
2025-12-31,SMH,364.83,365.57,360.07,360.13,2687300,0.248122,0.32358,0.275484,28.17
2026-01-02,SMH,368.95,376.34,368.84,373.3,8972400,0.257721,0.326444,0.30024,31.35
2026-01-05,SMH,381.72,383.99,376.94,377.59,9071300,0.265148,0.328385,0.300417,32.54
2026-01-06,SMH,382.4,389.37,382.14,387.62,10201200,0.266333,0.32901,0.3119,32.94
2026-01-07,SMH,385.2,387.81,383.59,385.02,6058900,0.268403,0.325498,0.31218,33.73
2026-01-08,SMH,384.56,384.74,375.86,378.98,5724000,0.270367,0.318559,0.318666,34.13
2026-01-09,SMH,382.28,390.88,380.08,389.22,6490800,0.271632,0.31475,0.328493,34.52
2026-01-12,SMH,385.67,391.98,385.67,390.66,5532000,0.26014,0.310644,0.326123,32.54
2026-01-13,SMH,392.27,396.1,390.38,391.53,5281600,0.247609,0.309354,0.270421,28.17
2026-01-14,SMH,388.96,389.34,383.81,388.35,6696500,0.251719,0.309207,0.27288,29.76
2026-01-15,SMH,401.07,403.62,396.12,396.41,9948100,0.266312,0.315131,0.276855,34.13
2026-01-16,SMH,402.85,405.31,398.42,400.39,5485900,0.261984,0.316549,0.226343,33.73
2026-01-20,SMH,393.16,397.16,389.43,390.39,7158500,0.26042,0.316077,0.248221,33.73
2026-01-21,SMH,394.75,405.88,393.37,401.93,8754600,0.265209,0.317289,0.252302,34.92
2026-01-22,SMH,408.18,408.73,401.57,402.82,5462600,0.264655,0.317385,0.25226,34.52
2026-01-23,SMH,400.5,403.09,397.53,400.09,5869500,0.266831,0.316472,0.255566,36.51
